text,label
can't store anything but phone numbers to sim.,negative
the file browser offers all the options that one needs.handsfree is great.,positive
i miss it and wish they had one in philadelphia!,positive
at least think to refill my water before i struggle to wave you over for 10 minutes.,negative
the dialogue is composed of things that make little sense.,negative
worst thai ever.,negative
"it showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".",positive
there is nothing privileged about working/eating there.,negative
i'm not eating here!,negative
the jerky camera movements were also annoying.,negative
the volume for the ringer is real good (you have choices how loud).,positive
soyo technology sucks.,negative
"lewis black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the pg-13 rating certainly won't allow.",negative
i liked this movie way too much.,positive
"it holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",positive
i had to walk out of the theatre for a few minutes just to get some relief!,negative
"frankly, after cotton club and unfaithful, it was kind of embarrassing to watch lane and gere in this film, because it is bad.",negative
the selection on the menu was great and so were the prices.,positive
"definitely worth venturing off the strip for the pork belly, will return next time i'm in vegas.",positive
"it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",negative
that company is a joke.,negative
i don't think i'll be running back to carly's anytime soon for food.,negative
virgin wireless rocks and so does this cheap little phone!,positive
meredith m was better than all right.,positive
"everyone is very attentive, providing excellent customer service.",positive
"in fact i'm going to round up to 4 stars, just because she was so awesome.",positive
over rated.,negative
good quality.,positive
the worst was the salmon sashimi.,negative
exactly what i wanted.,positive
"this was a poor remake of ""my best friends wedding"".",negative
"however, my recent experience at this particular location was not so good.",negative
not good for the money.,negative
it is practically useless and did not add any kind of boost to my reception after i bought it.,negative
i didn't know pulled pork could be soooo delicious.,positive
the last 15 minutes of movie are also not bad as well.,positive
"i have been in more than a few bars in vegas, and do not ever recall being charged for tap water.",negative
"in the summer, you can dine in a charming outdoor patio - so very delightful.",positive
very wind-resistant.,positive
"overall, i like this place a lot.",positive
steamboat willie is an amazingly important film to our cinema history.,positive
i have had mine for about a year and this christmas i bought some for the rest of the family.,positive
low quality.,negative
"i still maintain that monkeys shouldn't make headphones, we just obviously don't share enough dna to copy the design over to humans.",negative
motorola finally got the voice quality of a bluetooth headset right.,positive
filmiing was less expansive.,negative
i didn't realize how wonderful the short really is until the last two scenes.,positive
"cute, quaint, simple, honest.",positive
worst phone ever.,negative
"the film gives meaning to the phrase, ""never in the history of human conflict has so much been owed by so many to so few.",positive
it was that loud.glad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive
"the first time i ever came here i had an amazing experience, i still tell people how awesome the duck was.",positive
i'm really disappointed all i have now is a charger that doesn't work.,negative
"went in for happy hour, great list of wines.",positive
i did not have any problem with this item and would order it again if needed.,positive
after i pulled up my car i waited for another 15 minutes before being acknowledged.,negative
their monster chicken fried steak and eggs is my all time favorite.,positive
just as good as when i had it more than a year ago!,positive
doesn't last long.,negative
the service was outshining & i definitely recommend the halibut.,positive
"i'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.",negative
"the owner used to work at nobu, so this place is really similar for half the price.",positive
"each track commands sentiment, actually contributing to the scenes and characters.",positive
excellent wallet type phone case.,positive
"a truly, truly bad film.",negative
it's very convenient and simple to use - gets job done & makes the car ride so much smoother.,positive
my gyro was basically lettuce only.,negative
these are certainly very comfortable and functionality is decent.,positive
"on the up side, their cafe serves really good food.",positive
the movie was very interesting from beginning to the end.,positive
star trek v the final frontier is the worst in the series.,negative
how awful she is!,negative
i came over from verizon because cingulair has nicer cell phones.... the first thing i noticed was the really bad service.,negative
reception is terrible and full of static.,negative
ps the only scene in the movie that was cool is when the central character finds her room blown up.,positive
"also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",negative
everything about this product is wrong.first,negative
we have gotten a lot of compliments on it.,positive
the only good thing was that it fits comfortably on small ears.,positive
did not like at all.,negative
"that just screams ""legit"" in my book...somethat's also pretty rare here in vegas.",positive
the chefs were friendly and did a good job.,positive
"although i very much liked the look and sound of this place, the actual experience was a bit disappointing.",negative
"great atmosphere, friendly and fast service.",positive
don't miss it.,positive
"i have a verizon lg phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive
these products cover up the important light sensor above the ear outlet.,negative
i got this phone around the end of may and i'm completely unhappy with it.,negative
generous portions and great taste.,positive
"things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.",negative
eclectic selection.,positive
"all in all, a great disappointment.",negative
there was nothing believable about it at all.,negative
it was awesome.,positive
"the deal included 5 tastings and 2 drinks, and jeff went above and beyond what we expected.",positive
the cast is always entertaining as usual.,positive
exceptionally bad!,negative
i would recommend this.,positive
i am very happy,positive
setup went very smoothly.,positive
not good by any stretch of the imagination.,negative
"overall, i would recommend this phone over the new walkman.",positive
i bought this battery with a coupon from amazon and i'm very happy with my purchase.,positive
"i connected my wife's bluetooth,(motorola hs850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive
"the new characters weren't all that memorable, and i found myself forgetting who was who.",negative
this case seems well made.,positive
a good quality bargain.. i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn't hear me.,positive
i ordered the lemon raspberry ice cocktail which was also incredible.,positive
10/10,positive
"then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.",negative
wasted two hours.,negative
add betty white and jean smart and you have a great cast - everyone played their parts really well.,positive
it was a pale color instead of nice and char and has no flavor.,negative
very pleased with this headset.,positive
highly recommend for any one who has a blue tooth phone.,positive
"this product is clearly not ready for prime time, i don't care how cool it looks, if you can't tell a call is coming in it's worthless.",negative
it is unusable in a moving car at freeway speed.,negative
"unfortunately it will not recharge my iphone 4s, despite connecting it from multiple power sources (imac, external battery, wall outlet, etc).",negative
the battery works great!,positive
"the chips and salsa were really good, the salsa was very fresh.",positive
problem is that the ear loops are made of weak material and break easily.,negative
the poor batter to meat ratio made the chicken tenders very unsatisfying.,negative
"i cannot believe that the actors agreed to do this ""film"".",negative
the characters were all funny and had the peculiarity of not having a true lead character.,positive
"i know he was a contract player with little control over his scripts, but the acting was as bad as the script.",negative
the worst one of the series.,negative
we are so glad we found this place.,positive
damian is so talented and versatile in so many ways of writing and portraying different characters on screen.,positive
logitech bluetooth headset is a 10!.,positive
cinematography: the film was shot in an interesting way.,positive
i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip.,positive
"voice quality, signal strength, dropped calls.",negative
i don't like this nokia either.,negative
this product is ideal for people like me whose ears are very sensitive.,positive
"i have seen many movies starring jaclyn smith, but my god this was one of her best, though it came out 12 years ago.",positive
"unfortunately, it was not good.",negative
how can that be?the audio quality is poor.,negative
much better than the other ayce sushi place i went to in vegas.,positive
"their on-screen chemistry, critical to the entire film, is genuine.",positive
and it was boring.,negative
"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive
"couldn't use the unit with sunglasses, not good in texas!",negative
duris has a wholesome appearance and gives a fine performance.,positive
it's a case of 'so bad it is laughable'.,negative
the steak and the shrimp are in my opinion the best entrees at gc.,positive
"this item worked great, but it broke after 6 months of use.",negative
the story is beyond stupid.,negative
the plantains were the worst i've ever tasted.,negative
lousy product.,negative
cheap but hey it works.. was pleasantly suprised given the low cost of this item.,positive
my sister has one also and she loves it.,positive
the movie is not completely perfect but 'titta di girolamo' will stay with you for a long time after the vision of the movie.,positive
"the real killer is the volume, and of course it breaking.",negative
"i was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative
there was a warm feeling with the service and i felt like their guest for a special treat.,positive
a standout scene.,positive
very prompt service.,positive
is it possible for a movie to get any worse than this?,negative
just had lunch here and had a great experience.,positive
i don't know what kind it is but they have the best iced tea.,positive
"the charger arrived within the promised timeframe, but it did not work.",negative
the directing is sloppy at best.,negative
always a pleasure dealing with him.,positive
"bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",negative
"john garfield, ann revere, lilli plmer, william conrad, canada lee...and filmed by one of the greatest cinematographers to ever grace the screen..james wong howe.",positive
i wouldn't recommend buying this product.,negative
not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food.,negative
worth every penny.,positive
some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot!,positive
the cast was great.,positive
both rickman and stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.,positive
"on three different occasions i asked for well done or medium well, and all three times i got the bloodiest piece of meat on my plate.",negative
"i think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.",positive
we watched our waiter pay a lot more attention to other tables and ignore us.,negative
10/10,positive
i like steiners because it's dark and it feels like a bar.,positive
great price also!,positive
i dont think i will be back for a very long time.,negative
"that said, our mouths and bellies were still quite pleased.",positive
the jalapeno bacon is soooo good.,positive
this phone tries very hard to do everything but fails at it's very ability to be a phone.,negative
all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.,negative
"no ear loop needed, it's tiny and the sound is great.",positive
"it lasts less than 3o minutes, if i actually try to use the phone.my wife has the same phone with the same problem.",negative
this is a really fantastic thai restaurant which is definitely worth a visit.,positive
(the bathroom is just next door and very nice.),positive
this place was such a nice surprise!,positive
the black eyed peas and sweet potatoes... unreal!,positive
also its slim enough to fit into my alarm clock docking station without removing the case.,positive
so i had to take the battery out of the phone put it all back together and then restart it.,negative
this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative
we waited for forty five minutes in vain.,negative
overpriced for what you are getting.,negative
i can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.,negative
none of the three sizes they sent with the headset would stay in my ears.,negative
"i know this is not like the other restaurants at all, something is very off here!",negative
"this place is like chipotle, but better.",positive
how stupid is that?,negative
waiter was a jerk.,negative
"it quit working after i'd used it for about 18 months, so i just purchased another one because this is the best headset i've ever owned.",positive
"the staff is great, the food is delish, and they have an incredible beer selection.",positive
it is very comfortable on the ear.,positive
food arrived quickly!,positive
think it over when you plan to own this one!this sure is the last moto phone for me!,negative
kind of hard to mess up a steak but they did.,negative
this is a beautiful phone.,positive
i highly recommend this device to everyone!,positive
terrible phone holder.,negative
i don't recommend unless your car breaks down in front of it and you are starving.,negative
"when it opens, the battery connection is broken and the device is turned off.",negative
this is an excellent film.,positive
"nice quality build, unlike some cheap s*** out there.",positive
great for ipods too.,positive
the food wasn't good.,negative
i bought two of them and neither will charge.,negative
"bela lugosi was totally extraneous, intoning odd lines.",negative
i gave it a 10,positive
great hands free device.,positive
how awesome is that.,positive
perfect for the ps3.,positive
"hopefully, the director james cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.",positive
"not only did the software do a great job of this, i could also make my own ringtones form my existing cds without an internet connection.",positive
"the seller is very understanding and patient, i would definitely buy from them again.",positive
buy a different phone - but not this.,negative
jawbone era is awesome too!,positive
i had the chicken pho and it tasted very bland.,negative
would come back again if i had a sushi craving while in vegas.,positive
"i could not understand, what kind of idiot would produce this mess in the first place not to mention several season.",negative
- the food is rich so order accordingly.,positive
not loud enough and doesn't turn on like it should.,negative
avoid at all costs!,negative
i was not happy with this item.,negative
really ugly.,negative
this place is great!!!!!!!!!!!!!!,positive
"the acting, as you'd expect from this cast, is top notch.",positive
but the movie makes a lot of serious mistakes.,negative
"as for the service: i'm a fan, because it's quick and you're being served by some nice folks.",positive
"there is, however, some pretty good acting (at least, for this type of film).",positive
what a great double cheeseburger!,positive
none of them are engaging or exciting.,negative
"both actors truly understand and become their particular character, delivering a convincing, sincere performance.",positive
this is the worst sushi i have ever eat besides costco's.,negative
seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,negative
"the opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.",positive
"seriously, it's not worth wasting your, or your kid's time on.",negative
why was this film made?,negative
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,negative
cooked to perfection and the service was impeccable.,positive
"the ripped banana was not only ripped, but petrified and tasteless.",negative
very friendly staff.,positive
best i've found so far .... i've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive
this is a great phone!.,positive
"if you see it, you should probably just leave it on the shelf.",negative
i highly recommend this modest priced cellular phone.,positive
excellent phone.,positive
a very charming film with wonderful sentiment and heart.,positive
it definitely was not as good as my s11.,positive
linksys should have some way to exchange a bad phone for a refurb unit or something!,negative
do not buy if you want to use the holster.,negative
i checked everywhere and there is no feature for it which is really disappointing.,negative
"even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.",negative
this phone is pretty sturdy and i've never had any large problems with it.,positive
ambience is perfect.,positive
"yes, i am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.",negative
service was slow and not attentive.,negative
gets the job done.,positive
"a must study for anyone interested in the ""worst sins"" of industrial design.",negative
this is one of the worst sandra bullock movie since speed 2 but not quite that bad.,negative
"every time i eat here, i see caring teamwork to a professional degree.",positive
"try them in the airport to experience some tasty food and speedy, friendly service.",positive
this place should honestly be blown up.,negative
lightweight and works well.,positive
"unless you're just out to visually ""collect"" all extant films of austen's work, you can skip this one.",negative
the flair bartenders are absolutely amazing!,positive
"if i take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",negative
the bartender was also nice.,positive
"our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",positive
their research and development division obviously knows what they're doing.,positive
i got this phone on reccomendation from a relative and i'm glad i did.,positive
"i also had to taste my mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",positive
cinematography noteworthy including fine views of barcelona and its famed gaudi towers.,positive
"i had strawberry tea, which was good.",positive
the bathrooms are clean and the place itself is well decorated.,positive
the grilled chicken was so tender and yellow from the saffron seasoning.,positive
this fixes all the problems.,positive
"the rest of the movie lacks art, charm, meaning... if it's about emptiness, it works i guess because it's empty.",negative
"however, after finally watching this film, i realized that not only had i had a closed mind to the brilliance it depicts, i also found myself watching it over and over again.",positive
"i found this move beautiful, enjoyable, and uplifting.",positive
the burrittos blah!,negative
best tater tots in the southwest.,positive
"funny, clever, hip - just like pray's previous film, hype!",positive
first time going but i think i will quickly become a regular.,positive
we received a white colored battery that goes dead after a couple hoursthe original used to last a week - but still lasts longer than thereplacement,negative
nobody identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).,negative
very happy with this product.,positive
it shouldn't take 30 min for pancakes and eggs.,negative
also difficult to put on.i'd recommend avoiding this product.,negative
thank you for wasting my money.,negative
gets a signal when other verizon phones won't.,positive
i found this place by accident and i could not be happier.,positive
much better than the hard plastic cases.,positive
we won't be going back anytime soon!,negative
the battery life is highly unacceptable.,negative
great brunch spot.,positive
bad quality.,negative
it kept getting worse and worse so now i'm officially done.,negative
"top line: don't waste your time and money on this one, its as bad as it comes.",negative
we would recommend these to others.,positive
5 stars for the brick oven bread app!,positive
"using all earpieces, left or right, this thing will not stay on my ear.",negative
i saw this short film on hbo the other day and absolutely loved it.,positive
think of the film being like a dream.,positive
my friend did not like his bloody mary.,negative
don't waste your time here.,negative
"it was extremely ""crumby"" and pretty tasteless.",negative
"if there is a wind, it is completely useless.",negative
rude & inconsiderate management.,negative
the plastic breaks really easy on this clip.,negative
we definately enjoyed ourselves.,positive
i was deeply impressed with the character he played.,positive
the service was a bit lacking.,negative
"also, i feel like the chips are bought, not made in house.",negative
"good value, great food, great service.",positive
this place is awesome if you want something light and healthy during the summer.,positive
great product and price.,positive
this is my new fav vegas buffet spot.,positive
service is quick and friendly.,positive
i ordered the voodoo pasta and it was the first time i'd had really excellent pasta since going gluten free several years ago.,positive
i just got bored watching jessice lange take her clothes off!,negative
the phone gets extremely hot!,negative
we'd definitely go back here again.,positive
everything was fresh and delicious!,positive
excellent product.,positive
"she is as lovely as usual, this cutie!",positive
the chicken wings contained the driest chicken meat i have ever eaten.,negative
i had to go to a store and bought a new nokia phone which is working great.,positive
"saw the movie today and thought it was a good effort, good messages for kids.",positive
kids pizza is always a hit too with lots of great side dish options for the kiddos!,positive
) don't waste your time.,negative
great service and food.,positive
i really like this product over the motorola because it is allot clearer on the ear piece and the mic.,positive
"not much flavor to them, and very poorly constructed.",negative
"it was either too cold, not enough flavor or just bad.",negative
the art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.,positive
this movie is great--especially if you enjoy visual arts.,positive
this greedy corporation will never see another dime from me!,negative
the item received was counterfeit.,negative
my salad had a bland vinegrette on the baby greens and hearts of palm.,negative
"the ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive
"real sushi lovers, let's be honest - yama is not that good.",negative
"my brother in law who works at the mall ate here same day, and guess what he was sick all night too.",negative
"overall, i am psyched to have a phone which has all my appointments and contacts in and gets great reception.",positive
"i received my orders well within the shipping timeframe, everything was in good working order and overall, i am very excited to have this source.",positive
i came back today since they relocated and still not impressed.,negative
i love all the features and form factor.,positive
probably not in a hurry to go back.,negative
the aerial scenes were well-done.,positive
"this place is pretty good, nice little vibe in the restaurant.",positive
poorly contstruct hinge.,negative
not a pleasant voyage of self-discovery.,negative
this may be the only bad film he ever made.,negative
"finally, after three or four times the spring of the latch broke and i could not use it any longer on the visor.",negative
"best service and food ever, maria our server was so good and friendly she made our day.",positive
this is an unbelievable bargain!,positive
i highly doubt that anyone could ever like this trash.,negative
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,negative
it will drive you barking mad!,negative
gave up trying to eat any of the crust (teeth still sore).,negative
mic doesn't work.,negative
excellent!.,positive
my rating: just 3 out of 10.,negative
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head.,positive
"the microphone also works well, but (according to people i have called) it applifies everything.",positive
i especially love the long battery life.,positive
"simple, lightweight and great fit.",positive
the buffet at bellagio was far from what i anticipated.,negative
ryan's bar is definitely one edinburgh establishment i won't be revisiting.,negative
mediocre food.,negative
these headphones were a great find - and i think they are perhaps the best purchase i've made in the last several years - seriously.,positive
it was a good thing that the tickets only cost five dollars because i would be mad if i'd have paid $7.50 to see this crap.,negative
"both of them were truly unbelievably good, and i am so glad we went back.",positive
the food came out at a good pace.,positive
"at least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",negative
love it.. great armband.,positive
"as much as i'd like to go back, i can't get passed the atrocious service and will never return.",negative
pretty cool i would say.,positive
now the pizza itself was good the peanut sauce was very tasty.,positive
i could eat their bruschetta all day it is devine.,positive
i've never been more insulted or felt disrespected.,negative
any ring tone..overall good phone to buy..,positive
"it is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.",negative
"when i'm on this side of town, this will definitely be a spot i'll hit up again!",positive
there is not a deal good enough that would drag me into that establishment again.,negative
"we got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",negative
im in az all the time and now have my new spot.,positive
"i went on motorola's website and followed all directions, but could not get it to pair again.",negative
i've had better atmosphere.,negative
"the characters are interesting and you want to find out more about them the longer the movie goes on, and i think people will be surprised by who does and doesn't make it.",positive
"an interesting premise, and billy drago is always good as a dangerous nut-bag (side note: i'd love to see drago, stephen mchattie and lance hendrikson in a flick together; talk about raging cheekbones!).",positive
i'm returning them.,negative
the ambiance was incredible.,positive
he deserves 5 stars.,positive
the service was terrible though.,negative
i believe that pitch black was done well.,positive
the design might be ergonomic in theory but i could not stand having these in my ear.,negative
having to humour him just to get by and get through the day was so apt.,positive
"bad characters, bad story and bad acting.",negative
i'm so sorry but i really can't recommend it to anyone.,negative
i'll give this film 10 out of 10!,positive
final word: this show is a real torture!!,negative
his losing his marbles so early in the proceedings is totally implausible and unconvincing.,negative
i can't wait to go back.,positive
"i loved it, it was really scary.",positive
not tasty and the texture was just nasty.,negative
julian fellowes has triumphed again.,positive
freezes frequently4.,negative
the waitress and manager are so friendly.,positive
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,positive
defective crap.,negative
"the acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.",positive
but i don't like it.,negative
"ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) yeah, still sucks.",negative
"works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive
in my house i was getting dropped coverage upstairs and no coverage in my basement.,negative
"the guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",positive
i had the opportunity today to sample your amazing pizzas!,positive
"however, after seeing the short again after about 25 years, i was amazed at how timeless the film actually is.",positive
this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in.,negative
brilliant!,positive
yet plantronincs continues to use the same flawed charger design.,negative
the phone is sturdy and waterproof.,positive
just does not work.,negative
"stanwyck and morgan are perfectly cast in what is, in many ways, a modern equivalent of dickens' christmas carol in its sensibility.",positive
"garbo, who showed right off the bat that her talents could carry over from the silent era (i wanted to see some of her silent work, but netflix doesn't seem to be stocking them.",positive
"this was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",negative
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.",negative
i will never go back to this place and will never ever recommended this place to anyone!,negative
appears to actually outperform the original battery from china that came with my v325i.,positive
this is such a fun and funny movie.,positive
not my thing.,negative
they dropped more than the ball.,negative
"this case has passed the one year mark and while it shows signs of wear, it is 100% functional.",positive
the headsets are easy to use and everyone loves them.,positive
"the staff are great, the ambiance is great.",positive
i really enjoyed crema cafã© before they expanded; i even told friends they had the best breakfast.,positive
if she had not rolled the eyes we may have stayed... not sure if we will go back and try it again.,negative
you share general loewenhielm's exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.,positive
boy was that sucker dry!!.,negative
a good film by a great director!,positive
"it is light, easy to use, and has very clear reception and transmission.",positive
worked great!.,positive
extremely tasty!,positive
"this place is not quality sushi, it is not a quality restaurant.",negative
it has been a winner for us.,positive
"avoid, avoid, avoid!",negative
what a waste of money and time!.,negative
the ear buds only play music in one ear.,negative
i am very impressed with the job that motorola did on the sturdiness of this phone.,positive
the shipping time was also very quick!,positive
"i am pairing this with my iphone, and i could not be happier with it so far.",positive
the worst phone from samsung...crap..... this crappy samsung e715.. is the worst i have ever seeen.,negative
"but above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.",positive
the vegetables are so fresh and the sauce feels like authentic thai.,positive
"it is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",positive
good case!.,positive
an awesome new look for fall 2000!.,positive
if someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,negative
best bluetooth on the market.,positive
it's not what it says it is.,negative
it is a true classic.,positive
"needless to say, i won't be going back anytime soon.",negative
this film has no redeeming features.,negative
i'll even say it again â– this is torture.,negative
would not go back.,negative
i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,positive
the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.,positive
the noise shield is incrediable.,positive
"if you love death and decay, and shakespears lyrics... this is the one.",positive
"the food is not tasty at all, not to say its ""real traditional hunan style"".",negative
"lobster bisque, bussell sprouts, risotto, filet all needed salt and pepper..and of course there is none at the tables.",negative
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative
go rent it.,positive
"during several different 2 minute calls, i experienced 5 drops and it was in an area that had 5 bars.",negative
"on the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive
i would have casted her in that role after ready the script.,positive
this place is good.,positive
made very sturdy.,positive
"i really recommend this faceplates since it looks very nice, elegant and cool.",positive
you have to hold the phone at a particular angle for the other party to hear you clearly.,negative
food is way overpriced and portions are fucking small.,negative
"it took over 30 min to get their milkshake, which was nothing more than chocolate milk.",negative
don't buy this product - it fails!.,negative
the good cinematography also makes her and monica bellucci look very beautiful.,positive
this is a great little item.,positive
i am not a filmmaker nor am i a director but i would hide my head in the sand if i'd spent whatever amount of money and time on this movie.,negative
"the chicken dishes are ok, the beef is like shoe leather.",negative
"not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",negative
"i have been here several times in the past, and the experience has always been great.",positive
this place receives stars for their appetizers!!!,positive
i used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,negative
"the dining space is tiny, but elegantly decorated and comfortable.",positive
there still are good actors around!,positive
and then tragedy struck.,negative
"this is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of london and the outward tranquillity of a welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.",positive
"but if you liked movies like the matrix (and better yet, their sequels) i think you'll appreciate the thought provoking, mindblowing experience this film will give you.",positive
